id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14777296,"Sunny room,beautiful surrounding,near the center !",36417780,Lisa,Pankow,Blankenfelde/Niederschönhausen,52.58362836795392,13.395232302001904,Private room,28,2,15,2016-12-11,2.87,2,19
13920566,Huge Berlin-Penthouse Apartment with roof Terrace,3351408,Oliver,Pankow,Blankenfelde/Niederschönhausen,52.58379477141029,13.402823293992384,Entire home/apt,250,3,1,2016-09-24,0.21,1,0
9258549,gemütliches Zimmer mit Balkon,48098445,Johanna,Pankow,Blankenfelde/Niederschönhausen,52.578521339788644,13.399506585786932,Private room,30,1,0,,,1,0
14157815,Über den Dächern von Berlin-Pankow,14800356,Odilia,Pankow,Blankenfelde/Niederschönhausen,52.58413889785704,13.40342797174706,Shared room,20,1,2,2016-09-12,0.38,1,365
7658157,"Large, quiet and sunny room&balcony",40195311,Rita,Pankow,Blankenfelde/Niederschönhausen,52.58952927763608,13.402241730621085,Private room,28,1,8,2016-08-13,0.44,1,365
7777135,Charmante Wohnung im grünen Pankow,40917101,Katja,Pankow,Blankenfelde/Niederschönhausen,52.58169404239002,13.397409650147466,Entire home/apt,75,1,0,,,1,0
7457210,Große Wohnung für Familien,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.58047742685751,13.40242069268666,Entire home/apt,80,4,0,,,3,0
15855185,schöne 2-Raum-Wohnung,25269714,Nicola,Pankow,Blankenfelde/Niederschönhausen,52.58736967194641,13.409669719977291,Entire home/apt,30,2,7,2017-02-02,2.19,1,22
13035058,Guestroom with view of the stars,21797784,Jennifer,Pankow,Blankenfelde/Niederschönhausen,52.57988292315639,13.398262174568472,Private room,38,2,19,2016-12-26,2.32,1,206
6282752,3Zimmer Altbauwohnung in Pankow,32658240,Tom,Pankow,Blankenfelde/Niederschönhausen,52.57574064383451,13.396543373844876,Private room,19,1,6,2017-01-05,0.30,1,66
2743361,Gemütliches Gartenhaus in Pankow,14035633,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.582152244259454,13.394912673305763,Entire home/apt,65,1,20,2016-10-20,0.59,1,89
7457629,Einzelhaus mit Garten in Pankow,39058000,Simon,Pankow,Blankenfelde/Niederschönhausen,52.579881122343615,13.40339938185036,Entire home/apt,120,5,0,,,1,0
115576,Bed and Garden,584750,Axel,Pankow,Blankenfelde/Niederschönhausen,52.581556695628706,13.398311540952031,Entire home/apt,69,2,2,2014-08-05,0.05,1,268
10402942,große Ferienwohnung,53565483,Burghardt,Pankow,Blankenfelde/Niederschönhausen,52.57647375034692,13.398709972619038,Entire home/apt,120,2,1,2016-09-13,0.20,1,363
14925463,Nice room in Pankow with friendly family,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.57946253497657,13.402501380815876,Private room,95,2,0,,,3,90
15107151,"Stilvolles, ruhiges Zimmer, schnell in der City",34596621,Michael,Pankow,Blankenfelde/Niederschönhausen,52.58346487961673,13.399921893641174,Private room,25,3,2,2016-10-02,0.43,1,287
14081467,Light & quiet room in Berlin Pankow,84648901,André,Pankow,Blankenfelde/Niederschönhausen,52.58608238254139,13.395453785304266,Private room,35,2,6,2017-01-02,1.02,1,86
16560578,Nice Place,109066538,Arion,Pankow,Blankenfelde/Niederschönhausen,52.58166861216744,13.394815263301458,Private room,30,1,0,,,1,254
13413450,Berlin grün- großes Zimmer mit gartenzugang,76401748,Chrissy,Pankow,Blankenfelde/Niederschönhausen,52.595922494522334,13.403558546149615,Private room,25,14,0,,,1,0
1153584,Gästezimmer Berlin-Pankow,4813229,Ulrike,Pankow,Blankenfelde/Niederschönhausen,52.58870599799564,13.400343663818367,Private room,50,2,53,2017-01-03,1.29,1,111
7642371,Zen Raum,40100342,Gareo,Pankow,Blankenfelde/Niederschönhausen,52.5774930624397,13.400572288734951,Private room,30,1,3,2016-09-16,0.34,1,345
15767215,60m² mitten im Herzen von Berlin,39537907,Andre,Pankow,Blankenfelde/Niederschönhausen,52.58725185264844,13.400985388837796,Entire home/apt,45,3,2,2017-01-03,0.91,1,329
6393652,Künstler-Wohnung 70 € 04.-18.7.2015,33337642,Ulrike,Pankow,Blankenfelde/Niederschönhausen,52.58790594202976,13.401909943855433,Entire home/apt,70,5,0,,,1,0
11634962,Room for womens in Pankow 30 min from the city,12101514,Elektra,Pankow,Blankenfelde/Niederschönhausen,52.58598467165453,13.39207762775008,Private room,25,1,13,2017-01-22,1.47,1,115
7832750,Sonniges Doppelzimmer+Nice Price!,36417780,Lisa,Pankow,Blankenfelde/Niederschönhausen,52.583557375448244,13.39478341486493,Private room,27,2,101,2017-02-05,5.76,2,62
7373422,Ruhiger geräumiger Altbau in Pankow,38630547,Ines,Pankow,Blankenfelde/Niederschönhausen,52.58728361893765,13.41092543506717,Entire home/apt,33,5,0,,,1,0
7568544,familienfreundliche Altbauwohnung,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.58054511863305,13.40131010533428,Entire home/apt,80,2,11,2017-01-02,0.62,3,24
16153479,Gemütliches Apartment in Pankow,105373097,Vanessa,Pankow,Blankenfelde/Niederschönhausen,52.57704181181578,13.393889103622492,Entire home/apt,42,1,5,2017-01-27,2.54,1,268
16218267,"Quiet area, 15 min from the middle of Prenz. Berg",99930636,Nicolas,Pankow,Blankenfelde/Niederschönhausen,52.58146720533032,13.399254370621335,Private room,15,3,1,2017-01-05,0.81,1,59
6340049,1 Zimmer mit Doppelbett,30825942,Mandy,Pankow,Blankenfelde/Niederschönhausen,52.60473961631807,13.41487996883568,Entire home/apt,25,14,0,,,1,0
16801354,Gemütliches Gästezimmer in grüner Lage,27464853,Lisa,Pankow,Blankenfelde/Niederschönhausen,52.57888289311134,13.399788885535221,Private room,20,1,0,,,1,0
16469980,Seele baumeln lassen im Hochbettzimmer,45370527,Maria,Pankow,Blankenfelde/Niederschönhausen,52.576349845984176,13.396708970904816,Private room,25,1,4,2017-01-27,2.73,1,349
16601732,cozy room in a comfortable flat,66145126,Lisa,Pankow,Blankenfelde/Niederschönhausen,52.587559695330704,13.4005622947899,Private room,40,1,0,,,1,88
16682014,Zuhause im Glück,110413588,Maximilian,Pankow,Blankenfelde/Niederschönhausen,52.58283824845445,13.395261682929608,Entire home/apt,56,3,0,,,1,47
16926322,Helle 2 Zimmer Altbauwohnung in Berlin Pankow,25707959,Anja,Pankow,Blankenfelde/Niederschönhausen,52.583232747303626,13.407368077929338,Entire home/apt,39,4,0,,,2,80
4604780,Ruhig im Grünen-schnell in der City,23822141,Jens & Annette,Pankow,Blankenfelde/Niederschönhausen,52.58655036457524,13.425037193501847,Entire home/apt,85,2,20,2017-01-05,0.92,1,256
279222,Beautiful 105sqm. Flat besides Park,1456393,Johanna,Pankow,Blankenfelde/Niederschönhausen,52.57723065355496,13.400798566242996,Entire home/apt,49,18,1,2014-06-10,0.03,1,0
5332955,Park Flat in Berlin Pankow,15936565,Julia& Sergiej,Pankow,Blankenfelde/Niederschönhausen,52.580721615179115,13.396153649508223,Entire home/apt,36,5,2,2017-01-02,0.33,1,314
7486709,Wg-Zimmer in zweier WG,39208160,Christian,Pankow,Blankenfelde/Niederschönhausen,52.59061272616593,13.395717873073595,Private room,20,3,3,2015-10-17,0.17,1,0
866332,For the quite global individualist,4551377,Sabine,Pankow,Blankenfelde/Niederschönhausen,52.58903661543358,13.395549748827074,Private room,37,4,4,2015-10-08,0.10,1,88
13249228,"bright room in top floor of family house, Pankow",72905027,Annika,Pankow,Blankenfelde/Niederschönhausen,52.59340814523579,13.41088624043746,Private room,27,5,2,2017-01-31,0.27,2,88
14362551,nice room in familyhouse in Pankow,72905027,Annika,Pankow,Blankenfelde/Niederschönhausen,52.59190509681069,13.411039660714799,Private room,20,5,1,2016-10-12,0.25,2,362
10027737,gemütliche 2 Zimmer in wg,50795723,Victoria,Pankow,Blankenfelde/Niederschönhausen,52.576142515304355,13.399295443119858,Entire home/apt,140,1,0,,,1,365
17172443,Family flat ready for kids,13055623,Niels,Pankow,Blankenfelde/Niederschönhausen,52.580464800044595,13.405796486380893,Entire home/apt,100,6,0,,,1,25
6351275,Charmantes Zimmer im Prenzelberg,29079876,Anne,Pankow,Helmholtzplatz,52.54565400162496,13.422583366779195,Private room,25,4,9,2016-09-07,0.44,1,0
12549655,Cozy room for 2 in a 2 room flat,60230239,Friedrich,Pankow,Helmholtzplatz,52.54468670943481,13.416224337650437,Private room,65,2,5,2016-09-12,0.54,1,0
4292312,Cosy apartment for 4 people,14290868,Patricia,Pankow,Helmholtzplatz,52.54482503660926,13.419533082770991,Entire home/apt,75,4,11,2016-10-25,0.40,1,0
5111098,Cosy room Prenzlb. WiFi,2561273,Anett,Pankow,Helmholtzplatz,52.54288955752485,13.420500188731449,Private room,65,1,1,2016-10-02,0.23,1,364
2322746,Bright room in Prenzlauerberg,7144252,Inna,Pankow,Helmholtzplatz,52.543438142457184,13.421835530871705,Private room,50,1,0,,,1,0
719766,Generous bright flat in P-Berg,3714514,Vera,Pankow,Helmholtzplatz,52.54100230885572,13.421577257208575,Private room,100,2,22,2016-04-02,0.43,1,346
5138650,"Schönes, helles Zimmer in Altbauwhg",26534826,Elke,Pankow,Helmholtzplatz,52.54510899131304,13.420733327088302,Private room,45,2,40,2017-01-06,2.29,1,362
10092280,Appartement 29.07.16-19.08.16 zu vermieten,51787970,Danila,Pankow,Helmholtzplatz,52.543038307179636,13.412929985836124,Entire home/apt,20,10,0,,,1,0
7884988,Dachgeschoss nahe Helmholtzplatz,308320,Friederike,Pankow,Helmholtzplatz,52.54604215764216,13.42006755495061,Entire home/apt,105,20,2,2016-08-08,0.12,1,0
14023233,Nettes Zimmer in Prenzlberg,75343949,Clara,Pankow,Helmholtzplatz,52.54232429511036,13.42035064703667,Private room,40,1,0,,,1,0
16081300,Big room in wonderful neighborhood,3964966,Glory,Pankow,Helmholtzplatz,52.5410055002374,13.414544505533982,Private room,25,1,1,2016-12-05,0.44,2,43
477515,"Apartment in Prenslauerberg, Mitte,",2366664,Torsten,Pankow,Helmholtzplatz,52.54183195063052,13.421044631859761,Entire home/apt,119,45,83,2016-11-05,1.51,1,365
13649964,"3-Zimmer Architekten-Wohnung, Balkon, Dielen ..",949422,Elke,Pankow,Helmholtzplatz,52.542368128195164,13.424968928310363,Entire home/apt,120,1,7,2017-01-30,1.40,1,2
9063682,Gemütliche Unterkunft für  Familien,4057507,Uwe,Pankow,Helmholtzplatz,52.54391800071984,13.422177574757994,Entire home/apt,70,4,19,2016-12-29,1.30,6,3
4864695,Cozy flat close to Alexanderplatz,25021999,Franzi,Pankow,Helmholtzplatz,52.54412185016958,13.42267882076466,Entire home/apt,95,1,20,2016-05-04,0.98,1,0
1390729,"Beautiful, cozy, central, clean Apt",6823092,Thomas,Pankow,Helmholtzplatz,52.54125531964279,13.415511419850697,Entire home/apt,59,1,21,2015-06-15,0.49,1,40
1193404,TOP aparment- Kultur brauerei,6522168,Alan,Pankow,Helmholtzplatz,52.541236770064984,13.416272968478198,Entire home/apt,65,2,81,2017-02-05,1.94,2,251
13378602,Super central .! Amazing area !,25782117,Nick,Pankow,Helmholtzplatz,52.541822822079425,13.414855585028329,Private room,69,1,2,2016-07-20,0.25,1,0
1935049,Stylish & Cosy Prenzlauer Berg,4477508,Benito,Pankow,Helmholtzplatz,52.54143601035043,13.425095552558277,Entire home/apt,49,3,2,2017-01-08,1.54,1,208
17114647,Schönste Gegend: Prenzlauerberg Zimmer,3872372,Betti,Pankow,Helmholtzplatz,52.54286109619773,13.425371339735877,Private room,50,7,0,,,1,357
9708953,Huge flat - Eberswalder U2,37011142,Fabio,Pankow,Helmholtzplatz,52.539879649742474,13.419802643625742,Entire home/apt,60,4,1,2016-01-05,0.07,2,0
270604,Beautiful flat with personal charme,1416583,Dennis,Pankow,Helmholtzplatz,52.54250413882964,13.421946416988245,Private room,50,3,17,2017-01-03,0.28,1,149
9623618,Beautiful apt with garden in p-berg,148883,Ella,Pankow,Helmholtzplatz,52.54646866601096,13.42116451759616,Entire home/apt,70,5,2,2016-05-01,0.19,1,0
203634,Outstanding penthouse in Prenz Berg,998898,Dimitry,Pankow,Helmholtzplatz,52.542685419023094,13.413833898704562,Entire home/apt,120,3,70,2017-01-31,1.09,1,210
6232450,Zwischen Mauerpark + Helmholtzplatz,1020400,Andreas,Pankow,Helmholtzplatz,52.54467191854229,13.41471411873154,Entire home/apt,69,2,30,2017-02-06,1.54,1,4
15144139,Helmholtzplatz / Lychener Straße,96044084,Liza,Pankow,Helmholtzplatz,52.542987707458984,13.416385348165367,Private room,32,1,20,2017-02-04,4.48,1,362
10094856,Salt and Pepper,9557708,Daniel,Pankow,Helmholtzplatz,52.540590183742424,13.420309721872911,Entire home/apt,88,1,12,2016-11-28,1.08,3,336
1957918,3-room flat in Prenzlauer Berg,9513318,Katharina,Pankow,Helmholtzplatz,52.539986168976505,13.420273161702001,Entire home/apt,60,3,1,2016-12-21,0.58,1,0
9428090,MODERNES FAMILIENSTUDIO (Neu!!!),30981168,Natalie,Pankow,Helmholtzplatz,52.545094920974,13.42358439065653,Entire home/apt,75,2,42,2017-02-09,2.92,2,291
8163510,1 Raumwohnung Prenzlauer Berg,43088708,Janet,Pankow,Helmholtzplatz,52.54082723117681,13.422460487837506,Entire home/apt,60,2,101,2016-12-31,5.95,1,294
