id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
115576,Bed and Garden,584750,Axel,Pankow,Blankenfelde/Niederschönhausen,52.58150268997834,13.3978581755756,Entire home/apt,69,2,2,2014-08-05,0.06,1,303
7568544,familienfreundliche Altbauwohnung,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.57958124947871,13.402655654804162,Entire home/apt,75,3,6,2016-05-17,0.52,2,6
7392373,"Beautiful 30m² Berlin,Balcony,max4",38731499,Marie,Pankow,Blankenfelde/Niederschönhausen,52.582611516300716,13.394996437945755,Private room,39,2,1,2015-07-26,0.08,1,217
2522307,"Bed and muesli ""villakunterbunt""",12914606,George,Pankow,Blankenfelde/Niederschönhausen,52.59870735409314,13.389155388463475,Private room,35,1,13,2016-07-21,0.48,1,86
13920566,Huge Berlin-Penthouse Apartment with roof Terrace,3351408,Oliver,Pankow,Blankenfelde/Niederschönhausen,52.58406865988055,13.40145649530272,Entire home/apt,250,3,0,,,1,63
7486709,Wg-Zimmer in zweier WG,39208160,Christian,Pankow,Blankenfelde/Niederschönhausen,52.58887627384369,13.395326991323612,Private room,20,3,3,2015-10-17,0.26,1,0
13035058,Gästezimmer mit Blick auf die Sterne,21797784,Jennifer,Pankow,Blankenfelde/Niederschönhausen,52.5796727289495,13.399316502368807,Private room,38,1,7,2016-07-20,3.68,1,37
9986398,Cute apartment near park in Berlin,51309390,Tessa,Pankow,Blankenfelde/Niederschönhausen,52.58218348574772,13.4050620669447,Private room,25,1,1,2016-05-08,0.33,1,246
5332955,Park Flat in Berlin Pankow,15936565,Julia,Pankow,Blankenfelde/Niederschönhausen,52.58082982476354,13.397126923740936,Entire home/apt,36,5,0,,,1,329
13249228,"large room in top floor of family house, Pankow",72905027,Annika,Pankow,Blankenfelde/Niederschönhausen,52.59277823544081,13.409397929224816,Private room,27,5,1,2016-06-30,0.83,1,76
7777135,Charmante Wohnung im grünen Pankow,40917101,Katja,Pankow,Blankenfelde/Niederschönhausen,52.58304544316499,13.396750502689008,Entire home/apt,75,1,0,,,1,0
7457210,Große Wohnung für Familien,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.579873971369686,13.40044824636479,Entire home/apt,80,4,0,,,2,11
9258549,gemütliches Zimmer mit Balkon,48098445,Johanna,Pankow,Blankenfelde/Niederschönhausen,52.57896886871924,13.399527477929261,Private room,30,1,0,,,1,0
279222,Beautiful 105sqm. Flat besides Park,1456393,Johanna,Pankow,Blankenfelde/Niederschönhausen,52.5771050390231,13.400070344747487,Entire home/apt,49,18,1,2014-06-10,0.04,1,0
4604780,Ruhig im Grünen-schnell in der City,23822141,Jens & Annette,Pankow,Blankenfelde/Niederschönhausen,52.58837027170387,13.42359500032933,Entire home/apt,85,2,13,2016-07-24,0.84,1,276
10402942,große Ferienwohnung,53565483,Burghardt,Pankow,Blankenfelde/Niederschönhausen,52.5748678891062,13.398947272894507,Entire home/apt,120,2,0,,,1,296
866332,For the quite global individualist,4551377,Sabine,Pankow,Blankenfelde/Niederschönhausen,52.587891832640366,13.394384211348688,Private room,37,4,4,2015-10-08,0.11,1,89
14081467,Light & quiet room,84648901,André,Pankow,Blankenfelde/Niederschönhausen,52.586121384699624,13.39464826723794,Private room,25,2,0,,,1,78
7642523,Family-friendly 2 room apartment,40101010,Steven,Pankow,Blankenfelde/Niederschönhausen,52.590427710710365,13.406947466486173,Entire home/apt,45,2,14,2016-05-22,1.40,1,211
13413450,Berlin grün- großes Zimmer mit gartenzugang,76401748,Chrissy,Pankow,Blankenfelde/Niederschönhausen,52.59673257787232,13.403349977144387,Private room,25,14,0,,,1,4
2743361,Gemütliches Gartenhaus in Pankow,14035633,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.582413184376406,13.394491975324074,Entire home/apt,60,1,18,2016-07-30,0.66,1,58
1153584,Gästezimmer Berlin-Pankow,4813229,Ulrike,Pankow,Blankenfelde/Niederschönhausen,52.58921822417372,13.399260586072911,Private room,50,2,42,2016-07-13,1.21,1,67
7373422,Ruhiger geräumiger Altbau in Pankow,38630547,Ines,Pankow,Blankenfelde/Niederschönhausen,52.58628359497993,13.408938468128092,Entire home/apt,33,5,0,,,1,0
6393652,Künstler-Wohnung 70 € 04.-18.7.2015,33337642,Ulrike,Pankow,Blankenfelde/Niederschönhausen,52.588018686577705,13.401748867023262,Entire home/apt,70,5,0,,,1,0
7642371,Gareos Himmel,40100342,Gareo,Pankow,Blankenfelde/Niederschönhausen,52.57743039390149,13.400585006823416,Private room,30,1,1,2016-05-19,0.38,1,353
14157815,Über den Dächern von Berlin-Pankow,14800356,Odilia,Pankow,Blankenfelde/Niederschönhausen,52.582733258483245,13.402977846765038,Shared room,20,1,0,,,1,344
7832750,Sonniges Doppelzimmer+Nice Price!,36417780,Lisa,Pankow,Blankenfelde/Niederschönhausen,52.58231232676322,13.395584373495467,Private room,27,2,61,2016-07-28,5.45,1,121
13012064,Yachtclub,71794597,Tiphaine,Pankow,Helmholtzplatz,52.5402069334562,13.419284776050866,Shared room,98,1,1,2016-05-14,0.36,1,0
14113423,nice room near helmholtzplatz,15016008,Torsten,Pankow,Helmholtzplatz,52.543495641597765,13.418808603405445,Private room,39,3,1,2016-08-02,1,2,11
2570398,15m2 Private Room in Prenzlauer Ber,13160867,Nastia,Pankow,Helmholtzplatz,52.54400671936471,13.420745556516053,Private room,37,3,30,2016-07-15,1.07,1,57
1232740,Sunny 25 qm room Prenzlauer Berg ,6422948,Dina,Pankow,Helmholtzplatz,52.54082392978849,13.423194738203971,Private room,36,4,18,2016-06-29,1.41,2,295
5844033,"Sunny room in Berlin, best location",30341231,ArtHome,Pankow,Helmholtzplatz,52.54067115505897,13.422938166117822,Private room,30,2,33,2016-08-02,2.16,1,334
639988,Hassle-free flat in Berlin Center,882841,Johannes,Pankow,Helmholtzplatz,52.541525655505716,13.41912054512244,Entire home/apt,65,2,9,2014-06-11,0.21,3,0
13834632,Stylische 1-Zimmerwohnung für zwei!,75154872,Torsten,Pankow,Helmholtzplatz,52.54698481645584,13.413797666244063,Entire home/apt,60,1,2,2016-07-24,2,1,277
769196,Cozy and pretty,4057507,Uwe,Pankow,Helmholtzplatz,52.54302737096353,13.423717088912117,Private room,70,4,0,,,6,4
1390729,"Beautiful, cozy, central, clean Apt",6823092,Thomas,Pankow,Helmholtzplatz,52.54039972994349,13.415564659622353,Entire home/apt,59,1,21,2015-06-15,0.57,1,0
2111678,COSY HOME in the HEART of PBERG,149093,Rob,Pankow,Helmholtzplatz,52.54789280133782,13.414316104986892,Entire home/apt,45,1,48,2016-03-03,1.52,2,13
