id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5016956,Charmantes  Apartment in Pankow ,25878802,Lena,Pankow,Blankenfelde/Niederschönhausen,52.57685414196279,13.393963050671882,Entire home/apt,40,2,5,2015-09-28,0.69,2,357
7373422,Ruhiger geräumiger Altbau in Pankow,38630547,Ines,Pankow,Blankenfelde/Niederschönhausen,52.58628359497993,13.408938468128092,Entire home/apt,33,5,0,,,1,88
6393652,Künstler-Wohnung 70 € 04.-18.7.2015,33337642,Ulrike,Pankow,Blankenfelde/Niederschönhausen,52.588018686577705,13.401748867023262,Entire home/apt,70,5,0,,,1,151
1153584,Ferienwohnung Berlin-Pankow,4813229,Ulrike,Pankow,Blankenfelde/Niederschönhausen,52.58921822417372,13.399260586072911,Entire home/apt,50,2,31,2015-10-25,1.20,1,124
4604780,Ruhig im Grünen-schnell in der City,23822141,Jens & Annette,Pankow,Blankenfelde/Niederschönhausen,52.58837027170387,13.42359500032933,Entire home/apt,85,2,6,2015-08-31,0.94,1,352
7486709,Wg-Zimmer in zweier WG,39208160,Christian,Pankow,Blankenfelde/Niederschönhausen,52.58887627384369,13.395326991323612,Private room,20,1,3,2015-10-17,1.23,1,82
2522307,"Bed and muesli ""villakunterbunt""",12914606,George,Pankow,Blankenfelde/Niederschönhausen,52.59870735409314,13.389155388463475,Private room,35,1,10,2015-07-25,0.55,1,293
7568544,familienfreundliche Altbauwohnung,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.57958124947871,13.402655654804162,Entire home/apt,69,6,1,2015-08-29,0.42,2,102
279222,Beautiful 105sqm. Flat besides Park,1456393,Johanna,Pankow,Blankenfelde/Niederschönhausen,52.5771050390231,13.400070344747487,Entire home/apt,49,18,1,2014-06-10,0.06,1,363
6282752,3Zimmer Altbauwohnung in Pankow,32658240,Tom,Pankow,Blankenfelde/Niederschönhausen,52.576165929441814,13.396463313488077,Private room,39,1,2,2015-08-17,0.41,1,343
7658157,"Large, quiet and sunny room&balcony",40195311,Rita,Pankow,Blankenfelde/Niederschönhausen,52.590793698128685,13.403492611636432,Private room,25,1,3,2015-10-06,1.05,1,353
7952598,Nice bright attic apartment,35982520,Franziska,Pankow,Blankenfelde/Niederschönhausen,52.590531040812444,13.391995046018751,Entire home/apt,65,1,7,2015-10-24,3.39,1,362
8611600,Schönes Zimmer in Berlin Rosenthal,45301506,Ugi,Pankow,Blankenfelde/Niederschönhausen,52.59332254197531,13.40007735289034,Private room,31,1,3,2015-11-02,3,1,176
7457210,Große Wohnung für Familien,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.579873971369686,13.40044824636479,Entire home/apt,80,6,0,,,2,101
7777135,Charmante Wohnung im grünen Pankow,40917101,Katja,Pankow,Blankenfelde/Niederschönhausen,52.58304544316499,13.396750502689008,Entire home/apt,75,1,0,,,1,64
866332,For the quite global individualist,4551377,Sabine,Pankow,Blankenfelde/Niederschönhausen,52.587891832640366,13.394384211348688,Private room,37,2,4,2015-10-08,0.15,1,89
9258549,gemütliches Zimmer mit Balkon,48098445,Johanna,Pankow,Blankenfelde/Niederschönhausen,52.57896886871924,13.399527477929261,Private room,30,1,0,,,1,14
7642371,Gareos Himmel,40100342,Gareo,Pankow,Blankenfelde/Niederschönhausen,52.57743039390149,13.400585006823416,Private room,50,1,0,,,1,312
8533349,Cozy room with breakfast ,13372093,Edda,Pankow,Blankenfelde/Niederschönhausen,52.587096830064596,13.40133564462431,Private room,21,1,0,,,1,147
7642523,Family-friendly 2 room apartment,40101010,Steven,Pankow,Blankenfelde/Niederschönhausen,52.590427710710365,13.406947466486173,Entire home/apt,45,2,2,2015-10-17,2,1,353
7832750,"Sonniges Zimmer,3. Etage/Altbau",36417780,Lisa,Pankow,Blankenfelde/Niederschönhausen,52.58231232676322,13.395584373495467,Private room,25,1,13,2015-11-02,5.91,1,341
2450125,In the heart of Prenzlauer Berg ,12529387,Frank,Pankow,Helmholtzplatz,52.542262705287875,13.41693866154538,Entire home/apt,135,3,52,2015-10-12,2.83,1,130
5526654,Zen room Prenzlauer Berg,339789,Anna-Zoe,Pankow,Helmholtzplatz,52.53960936919631,13.42194706748081,Private room,45,3,0,,,1,364
8282443,Simple room in Berlin Prenzl. Berg,43670229,Davide,Pankow,Helmholtzplatz,52.54547660473929,13.423093950636506,Private room,23,1,2,2015-10-11,1.54,1,34
2610528,Artist LOFT in backyard shed,13369500,Gabriel,Pankow,Helmholtzplatz,52.54657261219657,13.415986428563631,Entire home/apt,115,2,64,2015-10-26,3.42,1,326
25820,Trendy Prenzlauer Berg- 4 bedroom ,108445,Alhamra Apartments  Berlin,Pankow,Helmholtzplatz,52.54259422368108,13.421875461685989,Entire home/apt,188,1,58,2015-09-08,1.07,2,349
4907330,"Szenen Viertel Mitte,Prenzlauerberg",8917065,Vivienne,Pankow,Helmholtzplatz,52.541522879357245,13.41650873952303,Entire home/apt,65,3,6,2015-11-05,0.63,1,234
2537919,Sunny 3-room apartement ,12995055,Konstantin,Pankow,Helmholtzplatz,52.54194684209685,13.423120467729909,Entire home/apt,70,7,4,2015-08-18,0.21,1,34
34971,Trendy modern 2 rooms apartment ,108445,Alhamra Apartments  Berlin,Pankow,Helmholtzplatz,52.54307411527968,13.420424305837296,Entire home/apt,90,1,42,2015-10-21,0.76,2,359
8588693,comfy single apartment,45200225,Jenny,Pankow,Helmholtzplatz,52.54147801555161,13.421890794534123,Entire home/apt,45,14,0,,,1,30
215275,Cosy studio apt in Prenzlauerberg,1111545,Maike,Pankow,Helmholtzplatz,52.54081966766829,13.416281430331443,Entire home/apt,42,3,122,2015-10-29,3.86,3,82
8949366,Spacious cozy room - Berlin Center,14895979,Louise,Pankow,Helmholtzplatz,52.544588543207425,13.416231146806172,Private room,37,2,1,2015-10-31,1,2,3
4539019,Sonniger Altbau in Prenzlauer Berg,23535866,,Pankow,Helmholtzplatz,52.54344531448017,13.418166940610675,Entire home/apt,100,5,1,2015-01-04,0.10,1,337
9232303,large one bedroom studio,1174550,Molly,Pankow,Helmholtzplatz,52.54205384266305,13.41561170590459,Entire home/apt,46,1,0,,,1,4
8353163,Beautiful apartment in Prenz. Berg,3966243,Gianluca,Pankow,Helmholtzplatz,52.54361755102725,13.422535696744909,Entire home/apt,60,1,2,2015-10-10,1.43,1,36
6446715,Light And Cozy 2 bedroom Appartment,3723299,Maike,Pankow,Helmholtzplatz,52.546127480935816,13.416813898641873,Entire home/apt,60,2,9,2015-10-20,1.75,1,337
6295492,Familien Wohnung  Berlin-Prenzlberg,30981168,Natalie,Pankow,Helmholtzplatz,52.54487200207929,13.423356465254777,Entire home/apt,65,2,13,2015-10-28,2.58,1,330
4784291,Allyouneed in the heart of Berlin,10589881,Alexandra,Pankow,Helmholtzplatz,52.54076413705256,13.413678228643239,Entire home/apt,60,3,11,2015-10-18,1.36,1,355
6652601,schönes Zimmer in Prenzlauer Berg,22015326,Hanna,Pankow,Helmholtzplatz,52.542225487439076,13.42403621178636,Private room,30,3,0,,,1,132
