id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8533349,Helles gemütliches Zimmer.,13372093,Edda,Pankow,Blankenfelde/Niederschönhausen,52.587096830064596,13.40133564462431,Private room,24,1,2,2016-03-19,0.55,1,109
7658157,"Large, quiet and sunny room&balcony",40195311,Rita,Pankow,Blankenfelde/Niederschönhausen,52.590793698128685,13.403492611636432,Private room,25,1,7,2016-02-14,0.89,1,365
2743361,Gemütliches Gartenhaus in Pankow,14035633,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.582413184376406,13.394491975324074,Entire home/apt,60,2,15,2015-09-08,0.64,1,265
7457210,Große Wohnung für Familien,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.579873971369686,13.40044824636479,Entire home/apt,80,3,0,,,2,11
7642523,Family-friendly 2 room apartment,40101010,Steven,Pankow,Blankenfelde/Niederschönhausen,52.590427710710365,13.406947466486173,Entire home/apt,45,2,7,2016-03-16,1.19,1,109
4604780,Ruhig im Grünen-schnell in der City,23822141,Jens & Annette,Pankow,Blankenfelde/Niederschönhausen,52.58837027170387,13.42359500032933,Entire home/apt,85,2,6,2015-08-31,0.53,1,321
11686438,Wilde 15,62071712,Wilde,Pankow,Blankenfelde/Niederschönhausen,52.58829006939683,13.410714417928551,Entire home/apt,40,1,0,,,1,365
7373422,Ruhiger geräumiger Altbau in Pankow,38630547,Ines,Pankow,Blankenfelde/Niederschönhausen,52.58628359497993,13.408938468128092,Entire home/apt,33,5,0,,,1,0
10027737,gemütliche 2 Zimmer Wohnung,50795723,Victoria,Pankow,Blankenfelde/Niederschönhausen,52.57606535768677,13.399548481551959,Entire home/apt,141,1,0,,,1,365
10096280,Cosy loft in Berlin,51810291,Nicolaus,Pankow,Blankenfelde/Niederschönhausen,52.586557271600974,13.401991534612472,Private room,50,2,0,,,1,0
6393652,Künstler-Wohnung 70 € 04.-18.7.2015,33337642,Ulrike,Pankow,Blankenfelde/Niederschönhausen,52.588018686577705,13.401748867023262,Entire home/apt,70,5,0,,,1,0
7777135,Charmante Wohnung im grünen Pankow,40917101,Katja,Pankow,Blankenfelde/Niederschönhausen,52.58304544316499,13.396750502689008,Entire home/apt,75,1,0,,,1,0
10402942,große Ferienwohnung,53565483,Burghardt,Pankow,Blankenfelde/Niederschönhausen,52.5748678891062,13.398947272894507,Entire home/apt,120,2,0,,,1,294
279222,Beautiful 105sqm. Flat besides Park,1456393,Johanna,Pankow,Blankenfelde/Niederschönhausen,52.5771050390231,13.400070344747487,Entire home/apt,49,18,1,2014-06-10,0.05,1,0
9258549,gemütliches Zimmer mit Balkon,48098445,Johanna,Pankow,Blankenfelde/Niederschönhausen,52.57896886871924,13.399527477929261,Private room,30,1,0,,,1,0
7568544,familienfreundliche Altbauwohnung,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.57958124947871,13.402655654804162,Entire home/apt,75,3,4,2016-03-29,0.54,2,13
5016956,Charmantes  Apartment in Pankow ,25878802,Lena,Pankow,Blankenfelde/Niederschönhausen,52.57685414196279,13.393963050671882,Entire home/apt,40,2,5,2015-09-28,0.41,2,328
7486709,Wg-Zimmer in zweier WG,39208160,Christian,Pankow,Blankenfelde/Niederschönhausen,52.58887627384369,13.395326991323612,Private room,20,3,3,2015-10-17,0.41,1,0
866332,For the quite global individualist,4551377,Sabine,Pankow,Blankenfelde/Niederschönhausen,52.587891832640366,13.394384211348688,Private room,37,2,4,2015-10-08,0.13,1,89
1153584,Ferienwohnung Berlin-Pankow,4813229,Ulrike,Pankow,Blankenfelde/Niederschönhausen,52.58921822417372,13.399260586072911,Entire home/apt,50,2,36,2016-03-13,1.17,1,12
7642371,Gareos Himmel,40100342,Gareo,Pankow,Blankenfelde/Niederschönhausen,52.57743039390149,13.400585006823416,Private room,50,1,0,,,1,336
7832750,Sonniges Doppelzimmer+Nice Price!,36417780,Lisa,Pankow,Blankenfelde/Niederschönhausen,52.58231232676322,13.395584373495467,Private room,26,1,35,2016-03-16,4.91,1,288
56357,BlissRoom with sunny greenview!,17391,Can,Pankow,Helmholtzplatz,52.54250689512834,13.41717922160308,Private room,41,2,93,2015-11-29,1.41,2,188
7463839,Schlafzimmer in zweier WG,32278467,Mea,Pankow,Helmholtzplatz,52.539954158095725,13.419494739891586,Private room,30,1,4,2016-01-03,0.51,2,0
8287240,Balkon-Zimmer im DG/Prenz.-Berg,15704568,Armando,Pankow,Helmholtzplatz,52.5456413960807,13.415971063316746,Private room,22,3,4,2016-01-03,0.59,1,0
2570398,15m2 Private Room in Prenzlauer Ber,13160867,Nastia,Pankow,Helmholtzplatz,52.54400671936471,13.420745556516053,Private room,31,3,24,2016-02-15,1.00,1,185
12006663,Nice room in Prenzlauer Berg,9118836,Maria Chiara,Pankow,Helmholtzplatz,52.54807195206164,13.414381781288242,Private room,23,1,0,,,2,0
7453547,Beautiful Room in hipp P-Berg,3964966,Glory,Pankow,Helmholtzplatz,52.54183376914142,13.413758354998699,Private room,24,2,13,2016-03-20,1.52,1,315
1658941,Sunny room (TERRACE & own bathroom),8791967,Anna,Pankow,Helmholtzplatz,52.542067609538925,13.42154592886476,Private room,39,2,10,2015-07-01,0.37,2,365
9422591,Beautiful open room in a cozy area,3736018,Hana,Pankow,Helmholtzplatz,52.5452349380136,13.423440776083424,Private room,33,1,3,2016-03-26,0.79,1,358
8282443,Simple room in Berlin Prenzl. Berg,43670229,Davide,Pankow,Helmholtzplatz,52.54547660473929,13.423093950636506,Private room,29,1,3,2015-12-04,0.48,1,0
1867179,Charming Ap with Yard and Balconies,9734552,Sara,Pankow,Helmholtzplatz,52.54449189291384,13.425064098336177,Entire home/apt,70,3,59,2016-03-15,2.44,1,103
2537919,Family friendly 3-rooms apartment,12995055,Konstantin And Tamara,Pankow,Helmholtzplatz,52.54125984209685,13.422387467729909,Entire home/apt,98,5,5,2016-03-15,0.21,1,45
769196,Cozy and pretty,4057507,Uwe,Pankow,Helmholtzplatz,52.54302737096353,13.423717088912117,Private room,70,4,0,,,3,115
2585322,Beautiful Apartment in Berlin,2452250,Juliane,Pankow,Helmholtzplatz,52.5442124792501,13.424666433621407,Entire home/apt,125,3,23,2016-03-15,0.96,1,320
2749688,Sunny home at Helmholtzplatz,14068248,Martin,Pankow,Helmholtzplatz,52.54462884764978,13.41788400153938,Entire home/apt,80,6,34,2015-10-15,1.48,1,316
5074647,Nice apartment in Prenzlauer Berg,17044723,Laura,Pankow,Helmholtzplatz,52.54589254893145,13.420284850180252,Entire home/apt,49,2,3,2016-03-26,3,1,40
4119526,"Charming, 120m2 Apartment in P'Berg",21370854,Tobias,Pankow,Helmholtzplatz,52.54338667454187,13.426026328442797,Entire home/apt,120,3,11,2016-03-29,0.90,1,162
6727502,Beautiful Penthouse Apartment,35228680,Aro,Pankow,Helmholtzplatz,52.544447537890676,13.414235952939835,Entire home/apt,40,1,16,2016-04-01,1.78,1,18
5138650,"Schönes, helles Zimmer in Altbauwhg",26534826,Elke,Pankow,Helmholtzplatz,52.54349244555511,13.419217584376899,Private room,45,2,12,2016-03-28,1.69,1,337
9919630,Appartement pour deux,50996784,Marcel,Pankow,Helmholtzplatz,52.546153599092115,13.41478235254952,Entire home/apt,40,1,5,2016-03-29,1.60,1,12
83614,"Spacious & Elegant Flat, BEST AREA",456085,Louis,Pankow,Helmholtzplatz,52.546906939587316,13.415366494605346,Entire home/apt,76,1,245,2016-03-06,4.02,2,323
9063682,Gemütliche Unterkunft für  Familien,4057507,Uwe,Pankow,Helmholtzplatz,52.54445344204606,13.420172656988393,Entire home/apt,70,4,2,2016-03-15,0.48,3,102
8048406,Großes Zimmer für 1 max.2 personen,42502834,Rosa Sofia,Pankow,Helmholtzplatz,52.54322179674627,13.420994617164446,Private room,30,3,4,2016-01-12,0.57,1,0
568307,Beautiful furnished room Prenzlberg,2796030,Ursula,Pankow,Helmholtzplatz,52.54427842690646,13.415393971329875,Private room,31,1,46,2016-03-16,1.02,1,340
10798605,Beautiful and very spacious room,3791818,Peter,Pankow,Helmholtzplatz,52.54110077487685,13.424667516199312,Private room,20,3,2,2016-03-30,1.22,1,93
7239371,Night ***,4259960,Sébastien,Pankow,Helmholtzplatz,52.53951621228561,13.423618723004456,Private room,25,1,15,2016-01-22,1.69,2,1
6513978,Beautiful spacious Berlin apartment,34059018,Richard,Pankow,Helmholtzplatz,52.54220133041698,13.425026642604603,Entire home/apt,50,2,8,2016-03-06,0.85,1,0
7449693,Stylish Flat in Prenzlauer Berg,7564951,Pierre,Pankow,Helmholtzplatz,52.541356059709166,13.414039326344685,Private room,35,1,33,2016-04-01,3.91,1,39
7191972,Spacious apartment in great area!,27484343,Laura,Pankow,Helmholtzplatz,52.54161544931636,13.423260441685617,Entire home/apt,68,6,1,2015-08-18,0.13,1,0
1213012,Style and Comfort | The Ryke Flat,6621275,Alessandro,Pankow,Helmholtzplatz,52.54014336276313,13.423913406395759,Entire home/apt,115,3,79,2016-03-26,2.47,1,244
4099618,Lovely Home in Prenz'l Berg,18350677,Gianna,Pankow,Helmholtzplatz,52.54222054494569,13.421901983094857,Entire home/apt,65,3,8,2016-03-06,0.48,1,121
4131511,ARTY PLACE IN GREAT LOCATION!,21433897,Valentina,Pankow,Helmholtzplatz,52.540449780978435,13.419786738655887,Entire home/apt,85,1,53,2016-03-20,2.88,1,316
4687580,Charming & Quiet Studio in Hip Area,4667374,Hannes,Pankow,Helmholtzplatz,52.544989977389605,13.42055072377924,Entire home/apt,66,3,31,2016-03-20,2.03,1,86
822315,Ueber Nice!!!,3872372,Betti,Pankow,Helmholtzplatz,52.542665957277606,13.42426269322658,Entire home/apt,120,7,3,2015-12-01,0.15,1,253
6756339,400 sqft apt Prenzlauer Berg w/cats,33997990,Maja,Pankow,Helmholtzplatz,52.54575593705941,13.422387940516266,Entire home/apt,30,3,1,2015-06-24,0.10,1,0
10127196,Family Apartment in Prenzlauer Berg,51971460,Reiner,Pankow,Helmholtzplatz,52.54151959864167,13.419885662550291,Entire home/apt,88,1,16,2016-04-04,5.39,1,253
8326316,Traumzimmer für Zwei,32278467,Mea,Pankow,Helmholtzplatz,52.539941692969265,13.418953467740277,Private room,35,2,4,2016-03-09,0.61,2,0
7212211,Schicke Wohnung im Prenzlauer Berg,27204186,Kristina,Pankow,Helmholtzplatz,52.547670836268146,13.415865547154487,Entire home/apt,70,1,6,2015-09-27,0.67,1,365
7936990,Sunny appartment in Prenzlauer Berg,1929354,Belu,Pankow,Helmholtzplatz,52.54219712979908,13.422705738102476,Entire home/apt,79,2,6,2016-03-27,0.80,1,131
1248502,Apart. in the heart of Prenzlberg,1128184,Antonia,Pankow,Helmholtzplatz,52.54835196310365,13.41599392257755,Entire home/apt,48,3,60,2016-04-01,1.79,1,21
9800980,Apartment in the heart of Berlin,26667449,Ina,Pankow,Helmholtzplatz,52.541361212103965,13.417227429777933,Entire home/apt,100,10,0,,,1,0
34971,Trendy modern 2 rooms apartment ,108445,Alhamra Apartments  Berlin,Pankow,Helmholtzplatz,52.54307411527968,13.420424305837296,Entire home/apt,90,1,43,2015-12-06,0.71,1,347
789018,3 für 2-3,4057507,Uwe,Pankow,Helmholtzplatz,52.54470819016231,13.421210481797075,Entire home/apt,60,4,4,2015-04-25,0.13,3,124
203634,Outstanding penthouse in Prenz Berg,998898,Dimitry,Pankow,Helmholtzplatz,52.54301025680194,13.415250690082251,Entire home/apt,120,3,55,2016-03-22,1.02,1,234
7071,BrightRoom with sunny greenview!,17391,Can,Pankow,Helmholtzplatz,52.5431572633131,13.415091104515707,Private room,40,2,90,2015-12-07,1.11,2,192
1610677,Sunny Room in ArtistFlat in PrenzlB,6584851,Eva Blanca,Pankow,Helmholtzplatz,52.54660561970445,13.41893375264205,Private room,30,2,5,2016-03-04,0.82,1,362
