id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
866332,For the quite global individualist,4551377,Sabine,Pankow,Blankenfelde/Niederschönhausen,52.587891832640366,13.394384211348688,Private room,37,2,4,2015-10-08,0.12,1,89
4604780,Ruhig im Grünen-schnell in der City,23822141,Jens & Annette,Pankow,Blankenfelde/Niederschönhausen,52.58837027170387,13.42359500032933,Entire home/apt,85,2,6,2015-08-31,0.49,1,329
279222,Beautiful 105sqm. Flat besides Park,1456393,Johanna,Pankow,Blankenfelde/Niederschönhausen,52.5771050390231,13.400070344747487,Entire home/apt,49,18,1,2014-06-10,0.04,1,0
7642371,Gareos Himmel,40100342,Gareo,Pankow,Blankenfelde/Niederschönhausen,52.57743039390149,13.400585006823416,Private room,50,1,0,,,1,349
10402942,große Ferienwohnung,53565483,Burghardt,Pankow,Blankenfelde/Niederschönhausen,52.5748678891062,13.398947272894507,Entire home/apt,120,2,0,,,1,307
9258549,gemütliches Zimmer mit Balkon,48098445,Johanna,Pankow,Blankenfelde/Niederschönhausen,52.57896886871924,13.399527477929261,Private room,30,1,0,,,1,0
7568544,familienfreundliche Altbauwohnung,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.57958124947871,13.402655654804162,Entire home/apt,75,4,4,2016-03-29,0.48,2,21
11686438,Wilde 15,62071712,Wilde,Pankow,Blankenfelde/Niederschönhausen,52.58848906939683,13.411164417928552,Entire home/apt,40,1,0,,,1,365
9986398,Cute apartment near park in Berlin,51309390,Tessa,Pankow,Blankenfelde/Niederschönhausen,52.58218348574772,13.4050620669447,Private room,25,1,0,,,1,277
7373422,Ruhiger geräumiger Altbau in Pankow,38630547,Ines,Pankow,Blankenfelde/Niederschönhausen,52.58628359497993,13.408938468128092,Entire home/apt,33,5,0,,,1,0
7658157,"Large, quiet and sunny room&balcony",40195311,Rita,Pankow,Blankenfelde/Niederschönhausen,52.590793698128685,13.403492611636432,Private room,25,1,7,2016-02-14,0.80,1,361
7486709,Wg-Zimmer in zweier WG,39208160,Christian,Pankow,Blankenfelde/Niederschönhausen,52.58887627384369,13.395326991323612,Private room,20,3,3,2015-10-17,0.36,1,0
2743361,Gemütliches Gartenhaus in Pankow,14035633,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.582413184376406,13.394491975324074,Entire home/apt,60,2,16,2016-04-05,0.66,1,294
1153584,Ferienwohnung Berlin-Pankow,4813229,Ulrike,Pankow,Blankenfelde/Niederschönhausen,52.58921822417372,13.399260586072911,Entire home/apt,50,2,38,2016-04-17,1.20,1,0
7642523,Family-friendly 2 room apartment,40101010,Steven,Pankow,Blankenfelde/Niederschönhausen,52.590427710710365,13.406947466486173,Entire home/apt,45,2,10,2016-04-17,1.46,1,127
7457210,Große Wohnung für Familien,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.579873971369686,13.40044824636479,Entire home/apt,80,4,0,,,2,11
6393652,Künstler-Wohnung 70 € 04.-18.7.2015,33337642,Ulrike,Pankow,Blankenfelde/Niederschönhausen,52.588018686577705,13.401748867023262,Entire home/apt,70,5,0,,,1,0
10096280,Cosy loft in Berlin,51810291,Nicolaus,Pankow,Blankenfelde/Niederschönhausen,52.586557271600974,13.401991534612472,Private room,50,2,0,,,1,0
115576,Bed and Garden,584750,Axel,Pankow,Blankenfelde/Niederschönhausen,52.58150268997834,13.3978581755756,Entire home/apt,69,2,2,2014-08-05,0.06,1,263
