id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
279222,Beautiful 105sqm. Flat besides Park,1456393,Johanna,Pankow,Blankenfelde/Niederschönhausen,52.5771050390231,13.400070344747487,Entire home/apt,49,18,1,2014-06-10,0.04,1,0
7568544,familienfreundliche Altbauwohnung,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.57958124947871,13.402655654804162,Entire home/apt,75,3,8,2016-08-24,0.60,3,0
14157815,Über den Dächern von Berlin-Pankow,14800356,Odilia,Pankow,Blankenfelde/Niederschönhausen,52.582733258483245,13.402977846765038,Shared room,20,1,2,2016-09-12,2,1,336
115576,Bed and Garden,584750,Axel,Pankow,Blankenfelde/Niederschönhausen,52.58150268997834,13.3978581755756,Entire home/apt,69,2,2,2014-08-05,0.05,1,327
13920566,Huge Berlin-Penthouse Apartment with roof Terrace,3351408,Oliver,Pankow,Blankenfelde/Niederschönhausen,52.58406865988055,13.40145649530272,Entire home/apt,250,3,1,2016-09-24,1,1,18
14777296,"Sonniges, fröhliches Zimmer + tolle Umgebung !",36417780,Lisa,Pankow,Blankenfelde/Niederschönhausen,52.58419058541792,13.395428664256672,Private room,36,2,7,2016-09-25,7,2,172
7457210,Große Wohnung für Familien,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.579873971369686,13.40044824636479,Entire home/apt,80,4,0,,,3,0
2522307,"Bed and muesli ""villakunterbunt""",12914606,George,Pankow,Blankenfelde/Niederschönhausen,52.59870735409314,13.389155388463475,Private room,35,1,15,2016-09-13,0.51,1,88
1153584,Gästezimmer Berlin-Pankow,4813229,Ulrike,Pankow,Blankenfelde/Niederschönhausen,52.58921822417372,13.399260586072911,Private room,50,2,47,2016-09-18,1.27,1,52
2743361,Gemütliches Gartenhaus in Pankow,14035633,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.582413184376406,13.394491975324074,Entire home/apt,65,1,19,2016-09-06,0.65,1,86
11634962,Room for womens in Pankow 30 min from the city,12101514,Elektra,Pankow,Blankenfelde/Niederschönhausen,52.583748670555515,13.393662207478338,Private room,23,1,5,2016-09-23,1.10,1,60
7832750,Sonniges Doppelzimmer+Nice Price!,36417780,Lisa,Pankow,Blankenfelde/Niederschönhausen,52.58231232676322,13.395584373495467,Private room,27,2,73,2016-09-17,5.52,2,146
7777135,Charmante Wohnung im grünen Pankow,40917101,Katja,Pankow,Blankenfelde/Niederschönhausen,52.58304544316499,13.396750502689008,Entire home/apt,75,1,0,,,1,0
866332,For the quite global individualist,4551377,Sabine,Pankow,Blankenfelde/Niederschönhausen,52.587891832640366,13.394384211348688,Private room,37,4,4,2015-10-08,0.11,1,88
7486709,Wg-Zimmer in zweier WG,39208160,Christian,Pankow,Blankenfelde/Niederschönhausen,52.58887627384369,13.395326991323612,Private room,20,3,3,2015-10-17,0.22,1,0
